id,single_alphabet,di-graph,Dwell_time,Interval_time,Latency_time,Flight_time,Uptoup_time
5e3640413a40c,6,60,38,316,469,354,431
5e3640413a40c,0,07,115,321,519,436,404
5e3640413a40c,7,7meta1,83,84146,84315,84229,84232
5e36422296180,meta1,meta10,86,863,1037,949,951
5e36422296180,0,08,88,312,489,400,401
5e36422296180,8,86,89,295,454,384,365
5e36422296180,6,66,70,177,321,247,251
5e36422296180,6,67,74,262,390,336,316
5e36422296180,7,70,54,311,455,365,401
5e36422296180,0,01,90,262,440,352,350
5e36422296180,1,16,88,311,471,399,383
5e36422296180,6,60,72,244,407,316,335
5e36422296180,0,07,91,343,489,434,398
5e36422296180,7,7meta1,55,29875,30011,29930,29956
5e36422296180,meta1,meta10,81,377,546,458,465
5e36422296180,0,08,88,512,672,600,584
5e36422296180,8,86,72,295,455,367,383
5e36422296180,6,66,88,176,323,264,235
5e36422296180,6,67,59,175,291,234,232
5e36422296180,7,70,57,227,391,284,334
5e36422296180,0,01,107,261,474,368,367
5e36422296180,1,16,106,626,842,732,736
5e36422296180,6,60,110,206,423,316,313
5e36422296180,0,07,107,277,458,384,351
5e36422296180,7,7meta1,74,48668,48828,48742,48754
5e36422296180,meta1,meta10,86,496,672,582,586
5e36422296180,0,08,90,763,923,853,833
5e36422296180,8,86,70,278,421,348,351
5e36422296180,6,66,73,189,337,262,264
5e36422296180,6,67,75,212,359,287,284
5e36422296180,7,70,72,311,489,383,417
5e36422296180,0,01,106,379,590,485,484
5e36422296180,1,16,105,360,554,465,449
5e36422296180,6,60,89,1211,1407,1300,1318
5e36422296180,0,07,107,610,790,717,683
5e36422296180,7,7meta1,73,31817,31943,31890,31870
5e36422296180,meta1,meta10,53,439,603,492,550
5e36422296180,0,08,111,379,595,490,484
5e36422296180,8,86,105,262,439,367,334
5e36422296180,6,66,72,191,338,263,266
5e36422296180,6,67,75,177,324,252,249
5e36422296180,7,70,72,262,425,334,353
5e36422296180,0,01,91,561,707,652,616
5e36422296180,1,16,55,427,553,482,498
5e36422296180,6,67,71,1312,1439,1383,1368
5e36422296180,7,7meta1,56,31517,31642,31573,31586
5e36422296180,meta1,meta18,69,894,1036,963,967
5e36422296180,8,86,73,313,441,386,368
5e36422296180,6,66,55,210,323,265,268
5e36422296180,6,67,58,243,357,301,299
5e36422296180,7,70,56,378,556,434,500
5e36422296180,0,01,122,495,689,617,567
5e36422296180,1,16,72,443,589,515,517
5e36422296180,6,60,74,293,473,367,399
5e36422296180,0,07,106,661,856,767,750
5e36422296180,7,7meta1,89,33517,33713,33606,33624
5e36422296180,meta1,meta10,107,359,555,466,448
5e36422296180,0,08,89,295,471,384,382
5e36422296180,8,86,87,313,471,400,384
5e36422296180,6,66,71,294,438,365,367
5e36422296180,6,67,73,177,322,250,249
5e36422296180,7,70,72,245,423,317,351
5e36422296180,0,01,106,395,572,501,466
5e36422296180,1,16,71,361,488,432,417
5e36422296180,6,60,56,261,423,317,367
5e36422296180,0,07,106,278,454,384,348
5e36422296180,7,7meta1,70,32286,32442,32356,32372
5e36422296180,meta1,meta10,86,529,703,615,617
5e36422296180,0,08,88,346,539,434,451
5e36422296180,8,86,105,328,521,433,416
5e36422296180,6,66,88,210,390,298,302
5e36422296180,6,67,92,477,640,569,548
5e36422296180,7,70,71,311,489,382,418
5e36422296180,0,01,107,478,658,585,551
5e36422296180,1,16,73,393,555,466,482
5e36422296180,6,60,89,293,506,382,417
5e36422296180,0,07,124,294,507,418,383
5e36422296180,7,7meta1,89,31000,31209,31089,31120
5e36422296180,meta1,meta18,120,1046,1239,1166,1119
5e36422296180,8,86,73,461,605,534,532
5e36422296180,6,66,71,227,372,298,301
5e36422296180,6,67,74,260,408,334,334
5e36422296180,7,70,74,287,455,361,381
5e36422296180,0,01,94,421,577,515,483
5e36422296180,1,16,62,612,746,674,684
5e36422296180,6,60,72,312,507,384,435
5e36422296180,0,07,123,322,505,445,382
5e36422296180,7,7meta1,60,32851,32997,32911,32937
5e36422296180,meta1,meta10,86,523,703,609,617
5e36422296180,0,08,94,273,462,367,368
5e36422296180,8,86,95,278,480,373,385
5e36422296180,6,66,107,258,439,365,332
5e36422296180,6,67,74,210,356,284,282
5e36422296180,7,70,72,311,490,383,418
5e36422296180,0,01,107,361,556,468,449
5e36422296180,1,16,88,710,889,798,801
5e36422296180,6,60,91,277,442,368,351
5e36422296180,0,07,74,359,489,433,415
5e36422296180,7,7meta1,56,30401,30560,30457,30504
5e36422296180,meta1,meta10,103,1211,1386,1314,1283
5e36422296180,0,08,72,313,472,385,400
5e36422296180,8,86,87,946,1104,1033,1017
5e36422296180,6,66,71,245,373,316,302
5e36422296180,6,67,57,243,326,300,269
5e36422296180,7,70,26,348,474,374,448
5e36422296180,0,01,100,378,532,478,432
5e36422296180,1,16,54,795,921,849,867
5e36422296180,6,60,72,278,439,350,367
5e36422296180,0,07,89,254,421,343,332
5e36422296180,7,7meta1,78,182233409,182233597,182233487,182233519
5e390b60a5cd0,meta1,meta10,110,335,508,445,398
5e390b60a5cd0,0,06,63,520,634,583,571
5e390b60a5cd0,6,62,51,597,735,648,684
5e390b60a5cd0,2,20,87,394,555,481,468
5e390b60a5cd0,0,06,74,376,523,450,449
5e390b60a5cd0,6,63,73,210,352,283,279
5e390b60a5cd0,3,36,69,417,591,486,522
5e390b60a5cd0,6,60,105,126,300,231,195
5e390b60a5cd0,0,06,69,39,187,108,118
5e390b60a5cd0,6,60,79,91,212,170,133
5e390b60a5cd0,0,0meta1,42,70855,70997,70897,70955
5e390b60a5cd0,meta1,meta10,100,697,883,797,783
5e390b60a5cd0,0,06,86,605,773,691,687
5e390b60a5cd0,6,62,82,163,363,245,281
5e390b60a5cd0,2,20,118,244,449,362,331
